id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50700533,COZY CONDO / 14TH AND U NEIGHBORHOOD,113535536,Bob,,"Dupont Circle, Connecticut Avenue/K Street",38.91541,-77.03572,Entire home/apt,99,7,3,2022-03-13,0.79,1,89,3,
50719581,"** RARE LUXURY 1 BED APT WITH ROOFTOP POOL, GYM **",396119937,Jason,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.9034,-77.01801,Entire home/apt,143,3,0,,,1,78,0,
50746094,Entire Guest Suite - 1 Bedroom w/ Private Entrance,6970679,Kay,,"Union Station, Stanton Park, Kingman Park",38.9015,-76.99806,Entire home/apt,101,2,19,2022-03-13,2.38,6,41,19,
50810921,Beautiful Georgetown One Bedroom English Basement,93638232,Paul,,"Georgetown, Burleith/Hillandale",38.9071,-77.05835,Entire home/apt,109,3,6,2021-08-28,0.71,1,200,6,
50811400,Spacious Bedroom near DC metro,47657615,Juliette,,"Friendship Heights, American University Park, Tenleytown",38.94949,-77.08287,Private room,45,2,7,2021-08-12,0.86,1,0,7,
50826444,Quincy Comfy 1 bedroom condo,407684639,Larry,,"Brightwood Park, Crestwood, Petworth",38.93699,-77.02593,Entire home/apt,76,2,17,2022-03-05,2.05,2,70,17,"Hosted License: 5007242100000005
Unhosted License: 5007262101000649"
50864836,Live + Work + Stay + Easy | 2 BR in DC,359230893,Casey,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90798,-77.00048,Entire home/apt,251,90,0,,,213,365,0,
50880434,Washington D.C skyline view,339536129,Chidera,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88,-77.02237,Entire home/apt,250,2,3,2021-08-01,0.36,1,0,3,
50946378,Beautiful Georgetown Loft,401572118,Paula,,"Georgetown, Burleith/Hillandale",38.90625,-77.05635,Private room,120,3,3,2021-10-27,0.48,3,0,3,
50977703,Clean and Spacious 2 BR in DC,329776220,Ashley & Aaron,,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont",38.8699,-76.97774,Entire home/apt,95,3,11,2021-11-07,1.38,2,0,11,
51084083,Trendy DC Condo Bedroom w/Bath and Free Parking,140359118,Zehra,,"Brookland, Brentwood, Langdon",38.92086,-76.98586,Private room,80,31,15,2021-12-30,2.01,1,252,15,
51085483,Clean/Quiet Private Room SE  / 2 days stay minimum,4722588,Ana,,"Sheridan, Barry Farm, Buena Vista",38.85628,-76.98123,Private room,100,2,0,,,1,365,0,
51128963,Cheerful 2-bed townhouse with stunning roof deck,4871945,Richmond,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91608,-77.01461,Entire home/apt,225,4,1,2022-01-01,0.38,2,0,1,Hosted License: 5007242201000107
51164654,Furnished and Fabulous on O Street,7650266,Stay Attache,,"Shaw, Logan Circle",38.9095,-77.02012,Entire home/apt,200,30,0,,,100,363,0,
51184423,Modern and Furnished in Dupont Circle,7650266,Stay Attache,,"Dupont Circle, Connecticut Avenue/K Street",38.91442,-77.04143,Entire home/apt,154,30,0,,,100,251,0,
51184747,Furnished and Fabulous near Dupont and U Street,7650266,Stay Attache,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91591,-77.03449,Entire home/apt,114,30,0,,,100,363,0,
51187050,StayHip in Logan Circle,7650266,Stay Attache,,"Shaw, Logan Circle",38.91049,-77.03232,Entire home/apt,143,30,0,,,100,363,0,
51241902,Living Room Single Bed - MUST BE VACCINATED,397250535,Scott,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91335,-77.00264,Private room,34,2,10,2022-03-16,2.01,2,6,10,
51259816,"Cozy minimalist guest suite in Brightwood, DC.",15270821,Sophia,,"Takoma, Brightwood, Manor Park",38.96729,-77.02627,Entire home/apt,50,2,8,2022-01-06,1.32,1,0,8,
51269526,Lovely brand new one-bedroom apt. with gym,398810506,Ariko,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.93162,-76.99476,Entire home/apt,107,3,0,,,2,0,0,
51297607,Entire apartment for you | Studio in Washington,368944610,Casey,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92002,-77.03285,Entire home/apt,216,91,0,,,88,365,0,
51310267,Live + Work + Stay + Easy | 1 BR in DC,359230893,Casey,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.908,-77.00024,Entire home/apt,179,90,0,,,213,365,0,
51400149,A SWEET SUITE ON THE ROX  PRIVACY / PARKING!,46630199,Home Sweet City,,"Takoma, Brightwood, Manor Park",38.96623,-77.02082,Entire home/apt,73,1,6,2021-12-26,0.8,75,167,6,
51406359,I’m only looking for a real busy professional,416336894,Eddie,,"Union Station, Stanton Park, Kingman Park",38.89418,-76.98189,Shared room,75,1,0,,,1,0,0,
51412142,Modern 4BR Columbia Heights Gem Walk 2 Metro&Shops,46582948,Huxley,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92923,-77.02148,Entire home/apt,322,3,10,2022-02-21,1.7,20,221,10,
51446553,Kalorama and Euclid Suites,11980555,Lea,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92236,-77.04301,Entire home/apt,275,1,1,2021-11-05,0.22,11,275,1,
51446638,Two Row House Suites,11980555,Lea,,"West End, Foggy Bottom, GWU",38.9021,-77.05004,Entire home/apt,245,2,1,2021-10-03,0.18,11,79,1,
51502715,Cozy apartment for you | 1BR in Washington,368944610,Casey,,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",38.90486,-77.03034,Entire home/apt,217,91,0,,,88,365,0,
51519050,Emergency Shelter for Refugees. Refugee Support.,23728552,Ernesto,,"Cathedral Heights, McLean Gardens, Glover Park",38.92453,-77.07595,Private room,10,1,1,2021-09-22,0.17,1,170,1,
51519699,Georgetown Room & Board,401572118,Paula,,"Georgetown, Burleith/Hillandale",38.90579,-77.05612,Private room,125,60,0,,,3,365,0,
